ItemNumber,PropertyCode,PropertyDescription,ValueCode,ValueDescription,UserInputed
12-422-287               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-287               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-287               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-287               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-287               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-287               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-287               ,2304,Network Cable_Length                              ,15264,1 ft.,
12-422-287               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-01-GY
12-422-287               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-288               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-288               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-288               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-288               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-288               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-288               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-288               ,2304,Network Cable_Length                              ,21903,2 ft.,
12-422-288               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-02-GY
12-422-288               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-289               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-289               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-289               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-289               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-289               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-289               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-289               ,2304,Network Cable_Length                              ,13984,3 ft.,
12-422-289               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-03-GY
12-422-289               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-290               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-290               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-290               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-290               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-290               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-290               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-290               ,2304,Network Cable_Length                              ,15113,5 ft.,
12-422-290               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-05-GY
12-422-290               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-291               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-291               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-291               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-291               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-291               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-291               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-291               ,2304,Network Cable_Length                              ,13970,7 ft.,
12-422-291               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-07-GY
12-422-291               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-292               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-292               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-292               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-292               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-292               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-292               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-292               ,2304,Network Cable_Length                              ,13964,10 ft.,
12-422-292               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-10-GY
12-422-292               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-293               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-293               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-293               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-293               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-293               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-293               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-293               ,2304,Network Cable_Length                              ,13967,14 ft.,
12-422-293               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-14-GY
12-422-293               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-294               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-294               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-294               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-294               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-294               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-294               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-294               ,2304,Network Cable_Length                              ,16885,20 ft.,
12-422-294               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-20-GY
12-422-294               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-295               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-295               ,2305,Network Cable_Cat                                 ,13959,5E,
